zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
37247,STANDARD,1,Nashville,"Tn Dept Of Health Environ, Nashvl, Nashvle",,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.78,0
37248,STANDARD,1,Nashville,"Tn Dept Of Human Svc, Nashvle, Nashvl",,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.78,0
37249,STANDARD,1,Nashville,"Nashvl, Nashvle, Tn Dept Of Safety",,TN,Davidson County,America/Chicago,615,NA,US,36.16,-86.78,0
37250,UNIQUE,0,Nashville,,"American General, Suntrust Bank",TN,Davidson County,America/Chicago,615,NA,US,36.17,-86.78,0
37301,STANDARD,0,Altamont,,,TN,Grundy County,America/Chicago,931,NA,US,35.42,-85.72,1360
37302,STANDARD,0,Apison,,,TN,Hamilton County,America/New_York,423,NA,US,35.01,-85,3720
37303,STANDARD,0,Athens,,,TN,McMinn County,America/New_York,423,NA,US,35.45,-84.6,20550
37304,STANDARD,0,Bakewell,Sale Creek,,TN,Hamilton County,America/New_York,423,NA,US,35.39,-85.11,0
37305,STANDARD,0,Beersheba Springs,Beershba Spgs,,TN,Grundy County,America/Chicago,931,NA,US,35.45,-85.67,590
37306,STANDARD,0,Belvidere,,,TN,Franklin County,America/Chicago,931,NA,US,35.12,-86.18,2330
37307,STANDARD,0,Benton,,,TN,Polk County,America/New_York,423,NA,US,35.17,-84.65,4180
37308,STANDARD,0,Birchwood,,,TN,Hamilton County,,,NA,US,35.36,-84.99,2480
37309,STANDARD,0,Calhoun,,,TN,McMinn County,America/New_York,423,NA,US,35.29,-84.74,1770
37310,STANDARD,0,Charleston,,,TN,Bradley County,America/New_York,423,NA,US,35.28,-84.76,4050
37311,STANDARD,0,Cleveland,,Cleveld,TN,Bradley County,America/New_York,423,NA,US,35.17,-84.86,23280
37312,STANDARD,0,Cleveland,,Cleveld,TN,Bradley County,America/New_York,423,NA,US,35.23,-84.88,30140
37313,STANDARD,0,Coalmont,,,TN,Grundy County,America/Chicago,931,NA,US,35.33,-85.71,1000
37314,PO BOX,0,Coker Creek,,,TN,Monroe County,America/New_York,423,NA,US,35.26,-84.3,70
37315,PO BOX,0,Collegedale,,,TN,Hamilton County,America/New_York,423,NA,US,35.05,-85.05,2155
37316,PO BOX,0,Conasauga,,Old Fort,TN,Polk County,America/New_York,423,NA,US,35,-84.73,55
37317,STANDARD,0,Copperhill,Postelle,,TN,Polk County,America/New_York,423,NA,US,34.99,-84.37,1850
37318,STANDARD,0,Cowan,,,TN,Franklin County,America/Chicago,931,NA,US,35.16,-86.01,1590
37320,PO BOX,0,Cleveland,,Cleveld,TN,Bradley County,America/New_York,423,NA,US,35.17,-84.86,2252
37321,STANDARD,0,Dayton,,,TN,Rhea County,,423,NA,US,35.49,-85.01,16440
37322,STANDARD,0,Decatur,,,TN,Meigs County,America/New_York,423,NA,US,35.52,-84.79,6870
37323,STANDARD,0,Cleveland,,"Cleveld, Clevelnd",TN,Bradley County,America/New_York,423,NA,US,35.1,-84.82,26900
37324,STANDARD,0,Decherd,,,TN,Franklin County,,,NA,US,35.2,-86.08,4340
37325,STANDARD,0,Delano,,,TN,Polk County,,,NA,US,35.25,-84.62,1440
37326,PO BOX,0,Ducktown,,,TN,Polk County,America/New_York,423,NA,US,35.03,-84.38,818
37327,STANDARD,0,Dunlap,,,TN,Sequatchie County,,423,NA,US,35.37,-85.38,10060
37328,STANDARD,0,Elora,,,TN,Lincoln County,,,NA,US,35.01,-86.35,1270
37329,STANDARD,0,Englewood,,,TN,McMinn County,,423,NA,US,35.42,-84.48,4630
37330,STANDARD,0,Estill Springs,Estill Spgs,,TN,Franklin County,,931,NA,US,35.26,-86.13,6060
37331,STANDARD,0,Etowah,,,TN,McMinn County,America/New_York,423,NA,US,35.33,-84.52,6270
37332,STANDARD,0,Evensville,,,TN,Rhea County,America/New_York,423,NA,US,35.56,-84.95,2310
37333,STANDARD,0,Farner,,,TN,Polk County,America/New_York,423,NA,US,35.14,-84.32,380
37334,STANDARD,0,Fayetteville,,,TN,Lincoln County,America/Chicago,931,NA,US,35.14,-86.56,19780
37335,STANDARD,0,Flintville,,,TN,Lincoln County,America/Chicago,931,NA,US,35.04,-86.45,2240
37336,STANDARD,0,Georgetown,,,TN,Bradley County,,423,NA,US,35.3,-84.91,3860
37337,STANDARD,0,Grandview,,"Grand View, Spring City",TN,Rhea County,,423,NA,US,35.74,-84.83,1090
37338,STANDARD,0,Graysville,,,TN,Rhea County,America/Chicago,423,NA,US,35.43,-85.22,2660
37339,STANDARD,0,Gruetli Laager,Gruetli Laagr,"Gruetli, Laager",TN,Grundy County,America/Chicago,931,NA,US,35.38,-85.63,1490
37340,STANDARD,0,Guild,,,TN,Marion County,America/Chicago,423,NA,US,35.03,-85.52,530
37341,STANDARD,0,Harrison,,,TN,Hamilton County,America/New_York,423,NA,US,35.12,-85.14,11660
37342,STANDARD,0,Hillsboro,,,TN,Coffee County,America/Chicago,931,NA,US,35.36,-85.95,3120
37343,STANDARD,0,Hixson,,,TN,Hamilton County,America/New_York,423,NA,US,35.16,-85.2,38480
37345,STANDARD,0,Huntland,,,TN,Franklin County,America/Chicago,931,NA,US,35.05,-86.26,2080
37347,STANDARD,0,Jasper,Kimball,,TN,Marion County,America/Chicago,423,NA,US,35.05,-85.62,7020
37348,STANDARD,0,Kelso,,,TN,Lincoln County,America/Chicago,931,NA,US,35.12,-86.46,1000
37349,PO BOX,0,Manchester,,,TN,Coffee County,America/Chicago,931,NA,US,35.46,-86.08,971
37350,STANDARD,0,Lookout Mountain,Lookout Mtn,,TN,Hamilton County,America/New_York,423,NA,US,34.99,-85.35,1930
37351,STANDARD,0,Lupton City,,,TN,Hamilton County,America/New_York,423,NA,US,35.1,-85.26,300
37352,STANDARD,0,Lynchburg,,,TN,Moore County,America/Chicago,931,NA,US,35.28,-86.35,2840
37353,STANDARD,0,Mc Donald,,,TN,Bradley County,America/New_York,423,NA,US,35.08,-84.98,4680
37354,STANDARD,0,Madisonville,,,TN,Monroe County,America/New_York,423,NA,US,35.52,-84.35,13970
37355,STANDARD,0,Manchester,,,TN,Coffee County,America/Chicago,931,NA,US,35.46,-86.08,22740
37356,STANDARD,0,Monteagle,,,TN,Grundy County,,931,NA,US,35.24,-85.84,2150
37357,STANDARD,0,Morrison,,,TN,Warren County,,931,NA,US,35.6,-85.91,4880
37359,STANDARD,0,Mulberry,,,TN,Lincoln County,America/Chicago,931,NA,US,35.2,-86.41,610
37360,STANDARD,0,Normandy,,,TN,Coffee County,,931,NA,US,35.45,-86.25,1380
37361,STANDARD,0,Ocoee,,,TN,Polk County,America/New_York,423,NA,US,35.1,-84.7,1420
37362,STANDARD,0,Old Fort,,,TN,Polk County,,,NA,US,35.04,-84.64,2900
37363,STANDARD,0,Ooltewah,College Dale,,TN,Hamilton County,America/New_York,423,NA,US,35.06,-85.09,32620
37364,PO BOX,0,Cleveland,,,TN,Bradley County,America/New_York,423,NA,US,35.17,-84.86,508
37365,STANDARD,0,Palmer,,,TN,Grundy County,America/Chicago,931,NA,US,35.35,-85.56,1170
37366,STANDARD,0,Pelham,,,TN,Grundy County,America/Chicago,931,NA,US,35.32,-85.78,800
37367,STANDARD,0,Pikeville,,,TN,Bledsoe County,America/Chicago,423,NA,US,35.6,-85.19,7280
37369,STANDARD,0,Reliance,,,TN,Polk County,America/New_York,423,NA,US,35.18,-84.56,710
37370,STANDARD,0,Riceville,,,TN,McMinn County,America/New_York,423,NA,US,35.38,-84.69,4050
37371,PO BOX,0,Athens,,,TN,Mcminn County,America/New_York,423,NA,US,35.45,-84.6,1239
37373,STANDARD,0,Sale Creek,Bakewell,,TN,Hamilton County,America/New_York,423,NA,US,35.38,-85.1,2670
37374,STANDARD,0,Sequatchie,,,TN,Marion County,America/Chicago,423,NA,US,35.19,-85.66,1330
37375,STANDARD,0,Sewanee,Saint Andrews,,TN,Franklin County,America/Chicago,931,NA,US,35.2,-85.92,2110
37376,STANDARD,0,Sherwood,,,TN,Franklin County,America/Chicago,931,NA,US,35.06,-85.95,360
